Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT4236,967.568472653149,967.568472653149,967.568472653149,2943.66481228406,2943.66481228406,2943.66481228406,1,1,0,0,1,437759.537099204,0,16458.7154515911,3692.41110411683,1904.76903404734,5931.10071722063,0,1574.77891980522
FT4237,967.567052442426,967.567052442426,967.567052442426,3277.41141046201,3277.41141046201,3277.41141046201,1,1,0,0,1,1783321.92538638,0,19511.7281714387,1226.64036032946,0,0,0,4930.1401125507
FT4238,967.56673968344,967.56673968344,967.56673968344,3060.32478513107,3060.32478513107,3060.32478513107,1,1,0,0,1,107727.139000001,1723.68207199761,2353.10913239406,0,0,0,2401.81589715393,0
FT4239,968.414587809749,968.414587809749,968.414587809749,2226.19254964609,2226.19254964609,2226.19254964609,1,1,0,0,1,723690.858789065,6348.31704220033,8279.03823820519,0,0,4624.66576696327,1868.36230018028,0
FT4240,968.570437950189,968.570437950189,968.570437950189,3280.09940405328,3280.09940405328,3280.09940405328,1,1,0,0,1,885984.161041999,0,6553.72434537267,0,0,0,0,0
FT4241,969.279580580775,969.279275229394,969.279886617277,1554.06898742248,1553.71622745731,1555.23689918032,5,0,1,4,1,0,752183.208708273,863058.588708333,112345.004447376,372517.039265625,286882.617413738,397681.639873047,110806.728573218
FT4242,969.474836705283,969.474836705283,969.474836705283,1341.69110389128,1341.69110389128,1341.69110389128,1,1,0,0,1,208223.407389786,0,0,0,0,0,0,9060.07866401661
FT4243,969.546011537159,969.546011537159,969.546011537159,3062.00283356915,3062.00283356915,3062.00283356915,1,1,0,0,1,2199774.23655578,0,48993.9703106284,4484.40197889628,0,7682.98321272233,0,14477.7179496961
FT4244,969.583179112512,969.583179112512,969.583179112512,3371.43038631732,3371.43038631732,3371.43038631732,1,1,0,0,1,414685.834389651,0,9676.80203190267,0,0,1537.93898266834,0,0
FT4245,970.282917195929,970.282684241228,970.28334649998,1555.04816943229,1552.23511765058,1556.18811767208,5,0,1,4,1,0,434869.02956502,522103.444222005,33914.8105458965,248823.902312011,157579.361718749,166627.87624292,39417.2704493155
