"","name","xend","yend","coord","cos2","contrib","PC1_Vector_corr","PC2_Vector_corr","abs_PC1_Vector_corr","abs_PC2_Vector_corr"
"183","FT183",-13.8293965100635,-0.162405539357565,0.996491770835334,0.996491770835334,0.204319836320367,-0.998175517519707,-0.0117220757376028,0.998175517519707,0.0117220757376028
"184","FT184",-13.840021340073,-0.163645696076542,0.998025421036681,0.998025421036681,0.204634294670434,-0.9989423944536,-0.0118115875303892,0.9989423944536,0.0118115875303892
"185","FT185",-13.8306292415609,-0.0325066693446167,0.996537503672349,0.996537503672349,0.204329213342884,-0.998264493376282,-0.00234626011860266,0.998264493376282,0.00234626011860266
"186","FT186",-13.8396810806635,-0.169154472713211,0.99798590617044,0.99798590617044,0.204626192575425,-0.998917835275482,-0.012209198949384,0.998917835275482,0.012209198949384
"187","FT187",-13.8383326375287,-0.170508190481754,0.997793866383601,0.997793866383601,0.204586816898714,-0.998820507606636,-0.0123069073297322,0.998820507606636,0.0123069073297322
"188","FT188",-13.8384254208324,-0.179304450294024,0.997823274694367,0.997823274694367,0.20459284675407,-0.998827204502055,-0.0129418020761487,0.998827204502055,0.0129418020761487
"189","FT189",-13.8460375999436,-0.16425902147675,0.998894219705256,0.998894219705256,0.204812432420242,-0.999376634899704,-0.0118558560129882,0.999376634899704,0.0118558560129882
"190","FT190",-13.8382642284336,-0.168720655032662,0.997780843781077,0.997780843781077,0.204584146755222,-0.998815569988146,-0.0121778869403982,0.998815569988146,0.0121778869403982
"191","FT191",8.50670510302756,-9.70918141216769,0.868093272084438,0.868093272084438,0.177993115903427,0.613995322386129,-0.700787425809276,0.613995322386129,0.700787425809276
"192","FT192",-13.8378091437966,-0.167917078576685,0.997713819367177,0.997713819367177,0.204570404125651,-0.998782722976875,-0.0121198865537416,0.998782722976875,0.0121198865537416
"193","FT193",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"194","FT194",9.55985080709303,-9.50345063233643,0.946623771194605,0.946623771194605,0.194094943529053,0.690009070159883,-0.685938229209962,0.690009070159883,0.685938229209962
"195","FT195",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"196","FT196",12.4232371183874,-3.07939387475668,0.853439877786548,0.853439877786548,0.174988596235419,0.896682015798201,-0.222263897947066,0.896682015798201,0.222263897947066
"197","FT197",9.58276715996143,-8.24776112627594,0.832786291467418,0.832786291467418,0.170753802231434,0.691663122263128,-0.59530531390929,0.691663122263128,0.59530531390929
"198","FT198",-13.7447492724591,1.12539567425164,0.990792765698641,0.990792765698641,0.203151317090407,-0.992065865508433,0.081228592205244,0.992065865508433,0.081228592205244
"199","FT199",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"200","FT200",-13.8415972397375,-0.02481422569963,0.998116377556247,0.998116377556247,0.204652944318864,-0.999056139436043,-0.001791036402894,0.999056139436043,0.001791036402894
"201","FT201",-13.4757937694764,0.504415658312034,0.947379853457218,0.947379853457218,0.194249970001587,-0.972653247019682,0.0364076162263674,0.972653247019682,0.0364076162263674
"202","FT202",12.192082700209,-4.0592761507072,0.860239058493233,0.860239058493233,0.176382694540855,0.879997796727307,-0.292989652118157,0.879997796727307,0.292989652118157
"203","FT203",7.90762106281277,-9.23315296391602,0.769888244946111,0.769888244946111,0.157857239564057,0.570754749925571,-0.666428736162772,0.570754749925571,0.666428736162772
"204","FT204",-13.8287599736511,-0.0558024839846275,0.99627886830362,0.99627886830362,0.204276182963957,-0.998129573717137,-0.00402770094050799,0.998129573717137,0.00402770094050799
"205","FT205",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"206","FT206",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"207","FT207",3.58929019192589,4.64582823203035,0.179559082192385,0.179559082192385,0.036816643505876,0.259067096112755,0.335325695263709,0.259067096112755,0.335325695263709
"208","FT208",-13.8382039099693,-0.167651028342454,0.997770272418246,0.997770272418246,0.20458197921186,-0.998811216333649,-0.0121006836311812,0.998811216333649,0.0121006836311812
"209","FT209",3.4874009708279,4.63000224987441,0.175037963887216,0.175037963887216,0.0358896372032321,0.251712955537991,0.334183410572018,0.251712955537991,0.334183410572018
"210","FT210",-13.838344635355,0.0791894033361455,0.997676805753636,0.997676805753636,0.204562814885397,-0.998821373583429,0.00571571750073212,0.998821373583429,0.00571571750073212
"211","FT211",-13.5736348687247,-2.46748071354062,0.991560544302772,0.991560544302772,0.203308741770989,-0.979715203035319,-0.17809734766199,0.979715203035319,0.17809734766199
