"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0456",1293485.60302201,0,2548.62148947766,0,0,319266.716841263,0,0
"FT0457",539157.261670536,10287.0419668762,5017.62322198279,10526.5443866897,0,10886.3230083668,2096.98891640375,19250.6892745063
"FT0458",37507.5233823023,271367.099248811,230658.4488535,175861.672335328,125537.117182604,170698.295199025,199663.995198968,181867.306139567
"FT0459",586960.958975014,124841.279100624,261035.288538729,246748.888938396,166400.661686617,171606.843343604,195822.714230144,131850.338941846
"FT0460",380508.149479371,36902.0234286862,77958.7788880747,82198.0550988588,35182.9607932661,40805.9558722994,42564.5917391944,54812.2444851381
"FT0461",1208799.88168148,166301.776320058,170835.028231682,120907.075805186,93131.7759171213,141290.381055277,86034.6466962354,107580.670277363
"FT0462",476076.293711792,24589.9201681101,50826.6204734756,13698.3414686359,0,206482.944145682,7507.65388036766,0
"FT0463",126506.727174018,0,0,0,0,0,0,0
"FT0464",143152.64053305,83663.0360539271,916425.631161342,1513951.7623941,2023773.13955266,1087000.12087424,1998330.65862847,2429575.26598935
"FT0465",36747.4408254855,16075.7947126564,443030.427373796,672425.465182208,842741.273576554,563557.787456155,959803.045147706,1075954.48013287
"FT0466",313680.530314179,96581.921432439,125707.96828388,114901.846580679,83076.9840187188,85347.9533429329,109737.593457842,95880.8374923414
"FT0467",1273659.27783203,2077.17662851471,5205.42705578853,2651.34676201354,6664.55937630372,183028.290234707,753.084928622111,3918.19152104102
"FT0468",194075.598120119,17767.7270983913,12642.430778887,14955.1187161292,6469.76930478025,26182.0831259978,3662.97185238219,25580.5047619868
"FT0469",817337.056689452,2762.07632383199,9035.04208695081,7174.59653976011,4606.1012893062,4118.73645704425,3305.94373745437,7160.85482273231
"FT0470",1099571.0587071,109571.592952864,410277.678679913,443738.352393704,753417.731219748,281609.638364482,168750.494900702,187634.388015248
